Código de la muestra ,Fecha de Toma,Hora de la Toma,Municipio , Parque Público,Fecha de anáisis ,Hora de análisis ,Examen Macroscopico  -  Presencia de sangre,Examen Macroscopico  - Presencia de moco,Examen Macroscopico -  Presencia de alimentos sin digerir ,Color ,Consistencia ,Hallazgos Examen Directo (Solución Salina),Hallazgos Examen Directo (Lugol),Halazgos Flotación de Sheather,Estructuras Parasitarias ,Parásito zoonótico observado
SAB021,1/05/2026,1:26:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,12:51:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB022,1/05/2026,1:30:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,12:51:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB023,1/05/2026,1:34:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,12:51:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB024,1/05/2026,1:49:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB025,1/05/2026,2:14:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Presente,Ausente,Café,Pastosa,Negativo,Negativo,Positivo ,Huevos,Ancylostoma caninum
SAB026,1/05/2026,2:22:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB027,1/05/2026,2:28:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB028,1/05/2026,2:45:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB029,1/05/2026,3:03:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB030,1/05/2026,3:17:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
SAB031,1/05/2026,3:21:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Positivo ,Negativo,Positivo ,Huevos,Toxocara Canis
SAB032,1/05/2026,3:38:00,Sabaneta,Parque al Aire Libre Azul ,2/05/2026,16:07:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL001,7/02/2026,9:31:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL002,7/02/2026,9:40:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL003,7/02/2026,9:57:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL004,7/02/2026,10:01:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL005,7/02/2026,10:10:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Presente,Presente,Café,Pastosa,Positivo ,Negativo,Negativo,Quistes,Giardia intestinalis
CAL006,7/02/2026,10:22:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL007,7/02/2026,10:43:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL008,7/02/2026,10:43:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Ancylostoma caninum
CAL009,7/02/2026,10:59:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL010,7/02/2026,11:01:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL011,7/02/2026,11:11:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL012,7/02/2026,11:28:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL013,7/02/2026,11:37:00,Caldas,Parque Principal de Caldas,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL014,7/02/2026,12:54:00,Caldas,Parque el Carrusel ,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Positivo ,Negativo,Positivo ,Huevos,Toxocara Canis
CAL015,7/02/2026,13:01:00,Caldas,Parque el Carrusel ,8/02/2026,9:25:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL016,7/02/2026,13:07:00,Caldas,Parque el Carrusel ,8/02/2026,9:25:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL017,7/02/2026,13:13:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL018,7/02/2026,13:28:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Trichuris vulpis
CAL019,7/02/2026,13:30:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL020,7/02/2026,13:48:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL021,7/02/2026,14:02:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL022,7/02/2026,14:15:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Presente,Presente,Café,Dura,Positivo ,Negativo,Positivo ,Huevos,"Ancylostoma caninum, Toxocara Canis"
CAL023,7/02/2026,14:19:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL024,7/02/2026,14:36:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL025,7/02/2026,14:55:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL026,7/02/2026,14:59:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL027,7/02/2026,15:15:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Presente,Ausente,Café,Pastosa,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
CAL028,7/02/2026,15:28:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL029,7/02/2026,15:36:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL030,7/02/2026,16:02:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL031,7/02/2026,16:07:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
CAL032,7/02/2026,16:28:00,Caldas,Parque el Carrusel ,8/02/2026,14:13:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED001,1/03/2026,8:00:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED002,1/03/2026,8:04:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED003,1/03/2026,8:17:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED004,1/03/2026,8:42:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Positivo ,Negativo,Negativo,Quistes,Giardia intestinalis
MED005,1/03/2026,8:54:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED006,1/03/2026,8:54:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Positivo ,Positivo ,Positivo ,Huevos,Trichuris vulpis
MED007,1/03/2026,9:13:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED008,1/03/2026,9:18:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED009,1/03/2026,9:27:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED010,1/03/2026,9:40:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Presente,Ausente,Café,Pastosa,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
MED011,1/03/2026,9:56:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED012,1/03/2026,10:01:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,7:31:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED013,1/03/2026,10:04:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED014,1/03/2026,10:28:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Ancylostoma caninum
MED015,1/03/2026,10:31:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED016,1/03/2026,10:35:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED017,1/03/2026,10:42:00,Medelín,Parque Lineal Ciudad del Rio ,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED018,1/03/2026,11:14:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,11:02:00,Ausente,Presente,Presente,Amarillo ,Pastosa,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
MED019,1/03/2026,11:20:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED020,1/03/2026,11:28:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,11:02:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED021,1/03/2026,11:34:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED022,1/03/2026,11:34:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED023,1/03/2026,11:49:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Toxocara Canis
MED024,1/03/2026,11:55:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED025,1/03/2026,12:07:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED026,1/03/2026,12:13:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED027,1/03/2026,12:48:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED028,1/03/2026,13:02:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED029,1/03/2026,13:11:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Positivo ,Positivo ,Negativo,Quistes,Giardia intestinalis
MED030,1/03/2026,13:22:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED031,1/03/2026,13:40:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED032,1/03/2026,13:54:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
MED033,1/03/2026,14:10:00,Medelín,Parques del Río Sector los Conquistadores,2/03/2026,15:14:00,Ausente,Ausente,Presente,Café,Pastosa,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV001,5/04/2026,7:41:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,15:14:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV002,5/04/2026,7:45:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV003,5/04/2026,7:53:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV004,5/04/2026,7:59:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV005,5/04/2026,8:11:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV006,5/04/2026,8:18:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Presente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV007,5/04/2026,8:30:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV008,5/04/2026,8:46:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV009,5/04/2026,8:52:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Presente,Café,Pastosa,Positivo ,Negativo,Positivo ,Huevos,Ancylostoma caninum
ENV010,5/04/2026,9:02:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV011,5/04/2026,9:10:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV012,5/04/2026,9:27:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV013,5/04/2026,10:05:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,7:20:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV014,5/04/2026,10:28:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,11:00:00,Ausente,Ausente,Presente,Café,Dura,Positivo ,Negativo,Positivo ,Huevos,Ancylostoma caninum
ENV015,5/04/2026,10:39:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,11:00:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV016,5/04/2026,10:43:00,Envigado,Parque Ecológico Urbano el Dorado,6/04/2026,11:00:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV017,5/04/2026,11:16:00,Envigado,Parque Débora Arango,6/04/2026,11:00:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV018,5/04/2026,11:20:00,Envigado,Parque Débora Arango,6/04/2026,11:00:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Ancylostoma caninum
ENV019,5/04/2026,11:29:00,Envigado,Parque Débora Arango,6/04/2026,11:00:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV020,5/04/2026,11:33:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV021,5/04/2026,12:01:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV022,5/04/2026,12:12:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV023,5/04/2026,12:34:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Presente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV024,5/04/2026,12:45:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV025,5/04/2026,12:50:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV026,5/04/2026,14:02:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV027,5/04/2026,14:10:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Positivo ,Huevos,Ancylostoma caninum
ENV028,5/04/2026,14:23:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV029,5/04/2026,14:49:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV030,5/04/2026,15:13:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV031,5/04/2026,15:16:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV032,5/04/2026,15:30:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
ENV033,5/04/2026,15:49:00,Envigado,Parque Débora Arango,6/04/2026,15:11:00,Ausente,Ausente,Ausente,Café,Dura,Negativo,Negativo,Negativo,No se observan estructuras parasitarias,No se observan estructuras parasitarias
,,<,,,,,,,,,,,,,,
